Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 02:35:43.191000,SAI,55,0 days 00:01:23.988000,66.0,3.0,,,0 days 00:00:29.813000,0 days 00:00:30.385000,0 days 00:00:23.790000,0 days 02:34:49.071000,0 days 02:35:19.456000,0 days 02:35:43.246000,277.0,236.0,245.0,283.0,False,SOFT,22.0,False,Ferrari,0 days 02:34:19.203000,,1,4.0,,,False,True
0 days 02:37:07.791000,SAI,55,0 days 00:01:24.600000,67.0,3.0,,,0 days 00:00:29.796000,0 days 00:00:30.860000,0 days 00:00:23.944000,0 days 02:36:13.042000,0 days 02:36:43.902000,0 days 02:37:07.846000,282.0,239.0,245.0,285.0,False,SOFT,23.0,False,Ferrari,0 days 02:35:43.191000,,12,4.0,,,False,True
0 days 02:38:53.098000,SAI,55,0 days 00:01:45.307000,68.0,3.0,,,0 days 00:00:30.041000,0 days 00:00:44.304000,0 days 00:00:30.962000,0 days 02:37:37.887000,0 days 02:38:22.191000,0 days 02:38:53.153000,274.0,133.0,211.0,280.0,False,SOFT,24.0,False,Ferrari,0 days 02:37:07.791000,,26,4.0,,,False,False
0 days 02:40:29.667000,SAI,55,0 days 00:01:36.569000,69.0,3.0,,,0 days 00:00:40.184000,0 days 00:00:31.822000,0 days 00:00:24.563000,0 days 02:39:33.337000,0 days 02:40:05.159000,0 days 02:40:29.722000,246.0,231.0,246.0,221.0,False,SOFT,25.0,False,Ferrari,0 days 02:38:53.098000,,671,4.0,,,False,False
0 days 02:41:56.529000,SAI,55,0 days 00:01:26.862000,70.0,3.0,,,0 days 00:00:30.407000,0 days 00:00:31.704000,0 days 00:00:24.751000,0 days 02:41:00.129000,0 days 02:41:31.833000,0 days 02:41:56.584000,278.0,232.0,244.0,283.0,False,SOFT,26.0,False,Ferrari,0 days 02:40:29.667000,,1,4.0,,,False,True
0 days 01:03:56.677000,LAT,6,0 days 00:01:50.639000,1.0,1.0,,,,0 days 00:00:34.906000,0 days 00:00:35.640000,,0 days 01:03:21.184000,0 days 01:03:56.833000,221.0,227.0,80.0,278.0,False,MEDIUM,1.0,True,Williams,0 days 01:02:05.807000,,126,19.0,,,False,False
0 days 01:05:47.793000,LAT,6,0 days 00:01:51.116000,2.0,1.0,,,0 days 00:00:46.845000,0 days 00:00:34.763000,0 days 00:00:29.508000,0 days 01:04:43.545000,0 days 01:05:18.308000,0 days 01:05:47.816000,230.0,220.0,176.0,118.0,True,MEDIUM,2.0,True,Williams,0 days 01:03:56.677000,,67,19.0,,,False,False
0 days 01:07:15.394000,LAT,6,0 days 00:01:27.601000,3.0,1.0,,,0 days 00:00:31.602000,0 days 00:00:31.863000,0 days 00:00:24.136000,0 days 01:06:19.418000,0 days 01:06:51.281000,0 days 01:07:15.417000,261.0,232.0,248.0,269.0,True,MEDIUM,3.0,True,Williams,0 days 01:05:47.793000,,71,18.0,,,False,False
0 days 01:08:41.401000,LAT,6,0 days 00:01:26.007000,4.0,1.0,,,0 days 00:00:30.493000,0 days 00:00:31.513000,0 days 00:00:24.001000,0 days 01:07:45.910000,0 days 01:08:17.423000,0 days 01:08:41.424000,276.0,234.0,244.0,303.0,True,MEDIUM,4.0,True,Williams,0 days 01:07:15.394000,,1,18.0,,,False,True
0 days 01:10:07.336000,LAT,6,0 days 00:01:25.935000,5.0,1.0,,,0 days 00:00:30.535000,0 days 00:00:31.318000,0 days 00:00:24.082000,0 days 01:09:11.959000,0 days 01:09:43.277000,0 days 01:10:07.359000,276.0,234.0,244.0,288.0,True,MEDIUM,5.0,True,Williams,0 days 01:08:41.401000,,1,18.0,,,False,True
0 days 01:11:32.903000,LAT,6,0 days 00:01:25.567000,6.0,1.0,,,0 days 00:00:30.305000,0 days 00:00:31.200000,0 days 00:00:24.062000,0 days 01:10:37.664000,0 days 01:11:08.864000,0 days 01:11:32.926000,278.0,231.0,243.0,287.0,True,MEDIUM,6.0,True,Williams,0 days 01:10:07.336000,,1,18.0,,,False,True
0 days 01:12:58.580000,LAT,6,0 days 00:01:25.677000,7.0,1.0,,,0 days 00:00:30.434000,0 days 00:00:31.271000,0 days 00:00:23.972000,0 days 01:12:03.360000,0 days 01:12:34.631000,0 days 01:12:58.603000,277.0,233.0,244.0,287.0,False,MEDIUM,7.0,True,Williams,0 days 01:11:32.903000,,1,17.0,,,False,True
0 days 01:14:24.352000,LAT,6,0 days 00:01:25.772000,8.0,1.0,,,0 days 00:00:30.210000,0 days 00:00:31.283000,0 days 00:00:24.279000,0 days 01:13:28.813000,0 days 01:14:00.096000,0 days 01:14:24.375000,278.0,231.0,244.0,288.0,False,MEDIUM,8.0,True,Williams,0 days 01:12:58.580000,,1,17.0,,,False,True
0 days 01:15:51.090000,LAT,6,0 days 00:01:26.738000,9.0,1.0,,,0 days 00:00:31.086000,0 days 00:00:31.485000,0 days 00:00:24.167000,0 days 01:14:55.461000,0 days 01:15:26.946000,0 days 01:15:51.113000,275.0,233.0,243.0,288.0,False,MEDIUM,9.0,True,Williams,0 days 01:14:24.352000,,1,18.0,,,False,True
